representation,model,n_folds,auc_roc_mean,auc_roc_sd,auc_roc_mean_sd,mcc_mean,mcc_sd,mcc_mean_sd,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_mean_sd,pr_auc_mean,pr_auc_sd,pr_auc_mean_sd
2D,RandomForest,15,0.8845482011627822,0.009808496930742698,0.8845 +/- 0.0098,0.5464724077776903,0.026649197655584645,0.5465 +/- 0.0266,0.7211271252357131,0.015279140071875953,0.7211 +/- 0.0153,0.7346103081513383,0.01829028240964742,0.7346 +/- 0.0183
3D,RandomForest,15,0.7259267511354801,0.01165664892554333,0.7259 +/- 0.0117,0.26957263356489475,0.018949399764003106,0.2696 +/- 0.0189,0.5739811233262123,0.005618052504861228,0.5740 +/- 0.0056,0.48270939503722465,0.01560599694100255,0.4827 +/- 0.0156
Hybrid,RandomForest,15,0.8841379973024469,0.009989739569092798,0.8841 +/- 0.0100,0.541633505201446,0.024314520526112524,0.5416 +/- 0.0243,0.7173566890726951,0.014384761594961422,0.7174 +/- 0.0144,0.7335073611732149,0.01778318610801733,0.7335 +/- 0.0178
2D,SVC,15,0.8857428292226343,0.009319442114545554,0.8857 +/- 0.0093,0.5612252325118988,0.021130955863023253,0.5612 +/- 0.0211,0.803052711661071,0.013909496006358352,0.8031 +/- 0.0139,0.7258690675273038,0.02236218131560828,0.7259 +/- 0.0224
3D,SVC,15,0.6862394074713909,0.013272352799245763,0.6862 +/- 0.0133,0.22829260412705685,0.02877983554468088,0.2283 +/- 0.0288,0.6356199490606435,0.017037248559186684,0.6356 +/- 0.0170,0.38899938672167994,0.019094847623970256,0.3890 +/- 0.0191
Hybrid,SVC,15,0.8855241467466431,0.00923477078526409,0.8855 +/- 0.0092,0.5605453030571049,0.022773471706857208,0.5605 +/- 0.0228,0.8026498974750634,0.014533466662295736,0.8026 +/- 0.0145,0.7245835382533169,0.022221186277052007,0.7246 +/- 0.0222
2D,XGBoost,15,0.8847587353757382,0.010785373209620034,0.8848 +/- 0.0108,0.5756819423301464,0.02413765895067114,0.5757 +/- 0.0241,0.7522316907265342,0.014790214001516568,0.7522 +/- 0.0148,0.743384710453873,0.019430798471533287,0.7434 +/- 0.0194
3D,XGBoost,15,0.722131644818914,0.009641615711670042,0.7221 +/- 0.0096,0.28382991870279534,0.029383965637415452,0.2838 +/- 0.0294,0.5914797690207051,0.00989373011387754,0.5915 +/- 0.0099,0.47639272170546143,0.01810216173261903,0.4764 +/- 0.0181
Hybrid,XGBoost,15,0.8825981533002788,0.010395493086645816,0.8826 +/- 0.0104,0.57252848633767,0.026550732720752323,0.5725 +/- 0.0266,0.7494433889684556,0.014599642979461857,0.7494 +/- 0.0146,0.739959488809908,0.01834963145710534,0.7400 +/- 0.0183
